Name,UniProt ID,Oxidized 24h,Reduced 24h,P-value 24h,Difference 24h,P-value (log) 24h,Significant 24h,Abundance Check Oxidized,Abundance Check Reduced,Oxidized 48h,Reduced 48h,P-value 48h,Difference 48h,P-value (log) 48h,Significant 48h,Abundance Check Oxidized,Abundance Check Reduced,Oxidized 72h,Reduced 72h,P-value 72h,Difference 72h,P-value (log) 72h,Significant 72h,Abundance Check Oxidized,Abundance Check Reduced,General abundance check,,
MLF3,P32047,6.0354,5.9787,0.95797,0.0567,0.018648091,-,Less,More,4.8319,0,0.22085,4.8319,0.655902596,-,Less,Less,5.0707,3.3619,0.32078,1.7088,0.493792717,-,Less,Less,FALSE,FALSE,Mixed
MLP1,Q02455 P36005,8.2656,8.2169,0.90416,0.0487,0.04375471,-,More,More,8.706,8.2972,0.49273,0.4088,0.307390995,-,More,More,8.474,7.7492,0.093727,0.7248,1.028135284,-,More,More,All above average,FALSE,FALSE
MLP2,P40457,9.4227,9.4187,0.99236,0.004,0.00333075,-,More,More,9.1562,9.6228,0.32589,-0.4666,0.486928966,-,More,More,9.5294,9.705,0.66311,-0.1756,0.178414423,-,More,More,All above average,FALSE,FALSE
MMP1,Q12372,5.1354,6.5194,0.28956,-1.384,0.538261432,-,Less,More,6.2092,6.2978,0.93314,-0.0886,0.030053194,-,Less,More,6.6255,6.6466,0.97153,-0.0211,0.012543784,-,More,More,FALSE,FALSE,Mixed
MMR1,Q06324,5.8379,3.698,0.12843,2.1399,0.891333517,-,Less,Less,6.4495,3.7532,0.046673,2.6963,1.330934283,-,Less,Less,6.4107,4.2995,0.14762,2.1112,0.830854799,-,Less,Less,FALSE,All Below Average,FALSE
MMS1,Q06211,0,0,0,0,0,-,Less,Less,0,0,0,0,0,-,Less,Less,1.6135,0,0.49459,1.6135,0.305754669,-,Less,Less,FALSE,All Below Average,FALSE
MMS2,P53152,9.9696,10.4284,0.19635,-0.4588,0.706969094,-,More,More,10.0177,10.082,0.86984,-0.0643,0.060560625,-,More,More,10.2359,9.9275,0.36342,0.3084,0.439591176,-,More,More,All above average,FALSE,FALSE
MMS4,P38257,8.8256,8.8752,0.90633,-0.0496,0.042713644,-,More,More,8.5193,8.7464,0.69127,-0.2271,0.16035229,-,More,More,8.8216,8.8583,0.92748,-0.0367,0.032695447,-,More,More,All above average,FALSE,FALSE
MMT2,Q08970,6.7635,5.3802,0.19857,1.3833,0.702086364,-,More,Less,6.4342,6.3663,0.93097,0.0679,0.031064314,-,Less,More,5.2244,3.8606,0.42813,1.3638,0.368424339,-,Less,Less,FALSE,FALSE,Mixed
MND2,P40577,7.3741,6.5973,0.39473,0.7768,0.403699865,-,More,More,6.0036,2.8564,0.060879,3.1472,1.21553249,-,Less,Less,6.5586,5.3961,0.28367,1.1625,0.547186591,-,More,Less,FALSE,FALSE,Mixed
MNL2,Q12205,8.1475,8.6103,0.25304,-0.4628,0.596810821,-,More,More,8.6123,8.1021,0.3919,0.5102,0.406824737,-,More,More,7.5453,7.8258,0.53212,-0.2805,0.273990418,-,More,More,All above average,FALSE,FALSE
MNN1,P39106,8.37,8.5736,0.61502,-0.2036,0.211110761,-,More,More,8.9485,8.3945,0.33271,0.554,0.477934146,-,More,More,8.2784,7.9703,0.47622,0.3081,0.322192369,-,More,More,All above average,FALSE,FALSE
MNN10,P50108,0,0,0,0,0,-,Less,Less,3.2943,3.949,0.70389,-0.6547,0.152495205,-,Less,Less,3.2147,0,0.39217,3.2147,0.406525632,-,Less,Less,FALSE,All Below Average,FALSE
MNN4,P36044,8.2404,8.2292,0.97789,0.0112,0.009709995,-,More,More,8.4268,7.6347,0.16108,0.7921,0.792958379,-,More,More,7.9357,8.1799,0.57232,-0.2442,0.242361077,-,More,More,All above average,FALSE,FALSE
MNN5,P46982,6.1469,7.2885,0.211,-1.1416,0.675717545,-,Less,More,7.2799,6.5228,0.33405,0.7571,0.476188524,-,More,More,6.5658,5.7887,0.18797,0.7771,0.725911459,-,More,More,FALSE,FALSE,Mixed
MNR2,P35724,5.6091,6.5194,0.39752,-0.9103,0.400641016,-,Less,More,5.3375,6.273,0.37604,-0.9355,0.424765956,-,Less,More,5.9123,5.6894,0.8371,0.2229,0.077222658,-,Less,More,FALSE,FALSE,Mixed
MNS1,P32906,8.6909,8.9395,0.55483,-0.2486,0.255840064,-,More,More,9.155,9.1566,0.99725,-0.0016,0.001195955,-,More,More,9.2295,9.18,0.90234,0.0495,0.04462979,-,More,More,All above average,FALSE,FALSE
MNT2,P53059,4.5267,5.8665,0.34115,-1.3398,0.467054624,-,Less,More,5.9713,3.6726,0.17099,2.2987,0.767029288,-,Less,Less,6.1004,3.9326,0.13706,2.1678,0.863089273,-,Less,Less,FALSE,FALSE,Mixed
MOH1,P38191,6.655,7.8342,0.084163,-1.1792,1.074878792,-,More,More,7.586,7.9998,0.46411,-0.4138,0.333379074,-,More,More,7.6751,7.9538,0.53469,-0.2787,0.271897938,-,More,More,All above average,FALSE,FALSE
MON1,P53129,5.1981,0,0.20985,5.1981,0.678091026,-,Less,Less,4.0911,0,0.29993,4.0911,0.522980092,-,Less,Less,1.6506,0,0.48473,1.6506,0.314500101,-,Less,Less,FALSE,All Below Average,FALSE
MON2,P48563,5.8114,6.1872,0.72692,-0.3758,0.138513382,-,Less,More,6.0923,4.626,0.27935,1.4663,0.553851324,-,Less,Less,5.5892,3.8907,0.24403,1.6985,0.61255678,-,Less,Less,FALSE,FALSE,Mixed
MOS1,Q96VH5,0,0,0,0,0,-,Less,Less,2.6052,0,0.27618,2.6052,0.558807775,-,Less,Less,0,2.4389,0.30188,-2.4389,0.520165659,-,Less,Less,FALSE,All Below Average,FALSE
MOS2,P50087,0,0,0,0,0,-,Less,Less,0,0,0,0,0,-,Less,Less,3.5311,3.2993,0.87675,0.2318,0.057124225,-,Less,Less,FALSE,All Below Average,FALSE
MOT3,P54785,8.9334,8.8527,0.84796,0.0807,0.071624634,-,More,More,8.9902,9.1646,0.71342,-0.1744,0.14665472,-,More,More,9.1111,9.0727,0.92411,0.0384,0.03427633,-,More,More,All above average,FALSE,FALSE
MPA43,P53583,7.1683,7.8794,0.29765,-0.7111,0.526294113,-,More,More,7.6507,7.9326,0.61798,-0.2819,0.20902558,-,More,More,7.6879,7.1679,0.29097,0.52,0.536151786,-,More,More,All above average,FALSE,FALSE
MPC54,Q08550,3.8738,0,0.35004,3.8738,0.455882325,-,Less,Less,2.3924,0,0.31731,2.3924,0.498516241,-,Less,Less,0,0,0,0,0,-,Less,Less,FALSE,All Below Average,FALSE
MPD1,Q12404,6.5377,6.8268,0.7515,-0.2891,0.124071015,-,Less,More,5.8416,5.2596,0.66766,0.582,0.175444642,-,Less,Less,6.6712,6.6948,0.96803,-0.0236,0.014111183,-,More,More,FALSE,FALSE,Mixed
MPD2,Q99316,8.5032,8.7445,0.56648,-0.2413,0.246815419,-,More,More,8.9224,8.4839,0.44325,0.4385,0.353351256,-,More,More,8.4089,8.3211,0.83911,0.0878,0.076181103,-,More,More,All above average,FALSE,FALSE
MPH1,P40562,9.4249,9.1541,0.51502,0.2708,0.288175905,-,More,More,8.9119,8.9298,0.97509,-0.0179,0.010955297,-,More,More,8.9045,9.5069,0.13509,-0.6024,0.869376798,-,More,More,All above average,FALSE,FALSE
MPP6,P53725,9.906,9.758,0.67682,0.148,0.169526816,-,More,More,9.5731,9.7724,0.61188,-0.1993,0.213333742,-,More,More,9.8074,10.1109,0.37109,-0.3035,0.430520749,-,More,More,All above average,FALSE,FALSE
MPT5,P39016,9.9203,10.6136,0.050892,-0.6933,1.293350481,-,More,More,10.0414,10.7229,0.082821,-0.6815,1.08185953,-,More,More,10.0666,10.6163,0.1053,-0.5497,0.977571629,-,More,More,All above average,FALSE,FALSE
MRC1,P25588,5.8379,0,0.29928,5.8379,0.523922305,-,Less,Less,4.6469,0,0.23903,4.6469,0.621547589,-,Less,Less,4.7293,4.2865,0.79696,0.4428,0.098563476,-,Less,Less,FALSE,All Below Average,FALSE
MRF1,P38071 P30775,5.2384,6.3175,0.40891,-1.0791,0.388372269,-,Less,More,4.2946,4.9919,0.67793,-0.6973,0.168815147,-,Less,Less,6.0424,3.9613,0.15347,2.0811,0.813976507,-,Less,Less,FALSE,FALSE,Mixed
MRH1,Q12117,9.1112,9.1904,0.84897,-0.0792,0.071107656,-,More,More,8.936,8.997,0.91511,-0.061,0.038526699,-,More,More,8.9537,8.6129,0.39818,0.3408,0.399920558,-,More,More,All above average,FALSE,FALSE
MRH4,P53166,6.4449,5.535,0.39773,0.9099,0.40041165,-,Less,Less,6.5206,6.0959,0.58787,0.4247,0.230718702,-,Less,More,6.5646,4.2538,0.033087,2.3108,1.480342609,-,More,Less,FALSE,FALSE,Mixed
MRI1,Q06489,12.7523,12.7514,0.99805,0.0009,0.000847701,-,More,More,12.5565,12.8653,0.43182,-0.3088,0.364697247,-,More,More,12.5895,12.8354,0.46861,-0.2459,0.329188448,-,More,More,All above average,FALSE,FALSE
MRK1,P50873,6.8319,5.7449,0.31238,1.087,0.505316779,-,More,Less,6.3021,4.7521,0.25284,1.55,0.597154218,-,Less,Less,4.4711,0,0.234,4.4711,0.630784143,-,Less,Less,FALSE,FALSE,Mixed
MRL1,Q06815,5.9889,5.6121,0.77308,0.3768,0.111775562,-,Less,Less,6.0311,5.1801,0.4207,0.851,0.376027488,-,Less,Less,5.3843,2.4389,0.087018,2.9454,1.060390903,-,Less,Less,FALSE,All Below Average,FALSE
MRM2,P53123,6.8253,6.5194,0.73753,0.3059,0.132220309,-,More,More,6.7166,6.0058,0.36448,0.7108,0.438326298,-,More,More,7.0915,6.3825,0.22966,0.709,0.63891464,-,More,More,All above average,FALSE,FALSE
MRN1,Q08925,8.2778,8.6539,0.353,-0.3761,0.452225295,-,More,More,8.5461,8.8073,0.64791,-0.2612,0.188485317,-,More,More,8.5127,8.5657,0.89549,-0.053,0.04793926,-,More,More,All above average,FALSE,FALSE
MRP1,P10662,4.4938,6.6606,0.097276,-2.1668,1.011994296,-,Less,More,5.7212,4.7521,0.47467,0.9691,0.323608216,-,Less,Less,6.5791,2.473,0.017046,4.1061,1.768377516,-,More,Less,FALSE,FALSE,Mixed
MRP13,P12686,7.5259,7.818,0.51237,-0.2921,0.290416307,-,More,More,7.1961,6.0657,0.14924,1.1304,0.82611476,-,More,More,7.3838,6.3572,0.081996,1.0266,1.086207333,-,More,More,All above average,FALSE,FALSE
MRP21,P38175,4.8758,5.1039,0.87125,-0.2281,0.059857209,-,Less,Less,5.8847,3.949,0.24896,1.9357,0.603870425,-,Less,Less,5.7242,2.4389,0.056283,3.2853,1.249622762,-,Less,Less,FALSE,All Below Average,FALSE
MRP49,P32388,6.6325,6.6964,0.94419,-0.0639,0.024940604,-,More,More,7.2905,7.1184,0.78508,0.1721,0.105086086,-,More,More,7.7779,7.6661,0.8034,0.1118,0.095068173,-,More,More,All above average,FALSE,FALSE
MRP51,Q02950,5.1566,5.8665,0.58694,-0.7099,0.231406292,-,Less,More,5.1565,5.7516,0.66064,-0.5951,0.180035134,-,Less,More,6.1247,3.3619,0.058098,2.7628,1.235838818,-,Less,Less,FALSE,FALSE,Mixed
MRP7,P12687,0,4.1452,0.31731,-4.1452,0.498516241,-,Less,Less,2.6052,0,0.27618,2.6052,0.558807775,-,Less,Less,4.9553,0,0.18717,4.9553,0.72776376,-,Less,Less,FALSE,All Below Average,FALSE
MRPL15,P36523,3.9241,5.535,0.25242,-1.6109,0.597876238,-,Less,Less,3.6208,4.372,0.66276,-0.7512,0.178643711,-,Less,Less,6.0182,3.9613,0.15831,2.0569,0.800491651,-,Less,Less,FALSE,All Below Average,FALSE
MRPL16,P38064,4.8758,5.7449,0.53692,-0.8691,0.270090418,-,Less,Less,5.5708,4.32,0.35613,1.2508,0.44839144,-,Less,Less,5.6394,4.2341,0.33511,1.4053,0.474812612,-,Less,Less,FALSE,All Below Average,FALSE
MRPL17,P36528,4.5267,0,0.27482,4.5267,0.560951665,-,Less,Less,5.1594,3.8544,0.43703,1.305,0.35948875,-,Less,Less,6.1953,2.473,0.030564,3.7223,1.514789809,-,Less,Less,FALSE,All Below Average,FALSE
MRPL22,P53881,4.926,0,0.2347,4.926,0.62948691,-,Less,Less,4.6646,3.6726,0.55466,0.992,0.255973153,-,Less,Less,4.3016,3.4219,0.60925,0.8797,0.215204462,-,Less,Less,FALSE,All Below Average,FALSE
MRPL32,P25348,5.4094,5.535,0.92339,-0.1256,0.034614833,-,Less,Less,6.0987,5.7963,0.77477,0.3024,0.110827204,-,Less,More,6.6086,4.8347,0.10186,1.7739,0.991996328,-,More,Less,FALSE,FALSE,Mixed
MRPL38,P35996,2.969,0,0.31731,2.969,0.498516241,-,Less,Less,4.8646,6.1047,0.36025,-1.2401,0.443396011,-,Less,More,5.406,3.4219,0.24901,1.9841,0.603783212,-,Less,Less,FALSE,FALSE,Mixed
MRPL49,P40858,5.4614,3.698,0.21028,1.7634,0.677202032,-,Less,Less,5.41,4.3021,0.50934,1.1079,0.292992216,-,Less,Less,4.9728,2.5506,0.10519,2.4222,0.978025545,-,Less,Less,FALSE,All Below Average,FALSE
MRPL50,P53724,0,0,0,0,0,-,Less,Less,3.2062,0,0.41658,3.2062,0.380301584,-,Less,Less,3.2568,0,0.38601,3.2568,0.413401444,-,Less,Less,FALSE,All Below Average,FALSE
MRPL51,Q06090,3.0618,6.0827,0.031854,-3.0209,1.496836024,-,Less,More,4.4648,3.6833,0.65006,0.7815,0.187046556,-,Less,Less,4.5897,0,0.22183,4.5897,0.653979721,-,Less,Less,FALSE,FALSE,Mixed
MRPL7,P36519,3.0618,0,0.46014,3.0618,0.337110012,-,Less,Less,5.1186,0,0.19465,5.1186,0.710745592,-,Less,Less,4.5863,3.8907,0.68612,0.6956,0.163599921,-,Less,Less,FALSE,All Below Average,FALSE
MRPL8,P22353,5.851,3.698,0.12612,2.153,0.899216038,-,Less,Less,4.9651,3.6726,0.44144,1.2925,0.355128317,-,Less,Less,5.7953,3.3368,0.15318,2.4585,0.814797935,-,Less,Less,FALSE,All Below Average,FALSE
MRPL9,P31334,4.4256,0,0.28569,4.4256,0.544104961,-,Less,Less,4.975,3.6726,0.43794,1.3024,0.358585386,-,Less,Less,2.7826,0,0.23884,2.7826,0.621892937,-,Less,Less,FALSE,All Below Average,FALSE
MRPS8,Q03799,4.4601,0,0.28195,4.4601,0.549827901,-,Less,Less,4.0607,0,0.30353,4.0607,0.517798378,-,Less,Less,4.3174,2.473,0.2173,1.8444,0.662940274,-,Less,Less,FALSE,All Below Average,FALSE
MRS2,Q01926,9.0337,9.7343,0.092086,-0.7006,1.035806391,-,More,More,9.1313,9.6925,0.23734,-0.5612,0.624629062,-,More,More,9.8716,8.9788,0.026782,0.8928,1.572156994,-,More,More,All above average,FALSE,FALSE
MRS4,P23500,6.1574,0,0.27361,6.1574,0.562868034,-,Less,Less,5.3899,0,0.17204,5.3899,0.764370566,-,Less,Less,6.2136,2.4389,0.028294,3.7747,1.548305651,-,Less,Less,FALSE,All Below Average,FALSE
MSA1,Q08471,8.7398,9.0532,0.45653,-0.3134,0.340530678,-,More,More,8.7012,9.2416,0.34471,-0.5404,0.462546118,-,More,More,8.7683,9.1384,0.35882,-0.3701,0.445123358,-,More,More,All above average,FALSE,FALSE
MSA2,P36157,7.6328,7.4349,0.77191,0.1979,0.112433333,-,More,More,7.951,7.3709,0.30473,0.5801,0.516084788,-,More,More,7.3549,6.8972,0.35269,0.4577,0.452606854,-,More,More,All above average,FALSE,FALSE
MSB2,P32334,8.8666,9.3514,0.24378,-0.4848,0.613001927,-,More,More,8.4424,8.6276,0.75592,-0.1852,0.121524164,-,More,More,8.3634,8.4601,0.823,-0.0967,0.084600165,-,More,More,All above average,FALSE,FALSE
MSB3,P48566,10.361,10.9306,0.10872,-0.5696,0.963690556,-,More,More,10.7533,11.3075,0.15833,-0.5542,0.800436788,-,More,More,10.8527,10.7817,0.83425,0.071,0.078703785,-,More,More,All above average,FALSE,FALSE
MSB4,Q12317,6.1783,7.0991,0.31305,-0.9208,0.504386292,-,Less,More,7.2555,7.6599,0.52179,-0.4044,0.282504248,-,More,More,7.1942,7.2531,0.90475,-0.0589,0.043471408,-,More,More,FALSE,FALSE,Mixed
MSC1,Q03104,7.2648,7.5315,0.69611,-0.2667,0.157322127,-,More,More,8.0702,7.6405,0.44715,0.4297,0.349546765,-,More,More,7.5896,8.3413,0.094046,-0.7517,1.026659671,-,More,More,All above average,FALSE,FALSE
MSC2,Q03455,5.8114,4.6413,0.40579,1.1701,0.39169866,-,Less,Less,4.6547,3.6833,0.56289,0.9714,0.249576467,-,Less,Less,5.1153,0,0.17333,5.1153,0.761126263,-,Less,Less,FALSE,All Below Average,FALSE
MSC3,Q05812,0,0,0,0,0,-,Less,Less,2.6052,0,0.27618,2.6052,0.558807775,-,Less,Less,0,0,0,0,0,-,Less,Less,FALSE,All Below Average,FALSE
MSC6,Q08818,8.1715,8.0049,0.68091,0.1666,0.166910288,-,More,More,8.1143,8.1236,0.98753,-0.0093,0.005449702,-,More,More,8.6329,8.0492,0.17713,0.5837,0.751707877,-,More,More,All above average,FALSE,FALSE
MSC7,P38694,8.2382,8.192,0.90908,0.0462,0.041397897,-,More,More,8.9848,8.0162,0.10413,0.9686,0.982424132,-,More,More,7.9286,7.8438,0.85011,0.0848,0.070524875,-,More,More,All above average,FALSE,FALSE
MSE1,P48525,0,0,0,0,0,-,Less,Less,5.1678,2.8564,0.17967,2.3114,0.745524432,-,Less,Less,4.9193,2.4389,0.097086,2.4804,1.012843392,-,Less,Less,FALSE,All Below Average,FALSE
MSF1,P08425 P35200,5.684,4.891,0.57322,0.793,0.241678665,-,Less,Less,4.3546,4.7259,0.82499,-0.3713,0.083551316,-,Less,Less,5.9223,3.8907,0.16349,2.0316,0.786508806,-,Less,Less,FALSE,All Below Average,FALSE
MSG5,P38590,7.538,7.6405,0.88074,-0.1025,0.055152279,-,More,More,8.4448,8.3446,0.86645,0.1002,0.062256494,-,More,More,8.6702,8.3757,0.46531,0.2945,0.332257614,-,More,More,All above average,FALSE,FALSE
MSH1,P25846,5.6693,4.891,0.58033,0.7783,0.236324978,-,Less,Less,5.6994,6.0201,0.76157,-0.3207,0.118290172,-,Less,More,6.225,5.2205,0.35429,1.0045,0.450641106,-,Less,Less,FALSE,FALSE,Mixed
MSH2,P25847,7.5131,6.7314,0.25226,0.7817,0.598151609,-,More,More,7.2728,4.8164,0.020104,2.4564,1.696717524,-,More,Less,7.3747,6.803,0.24562,0.5717,0.609736273,-,More,More,FALSE,FALSE,Mixed
MSH3,P25336,3.0618,0,0.46014,3.0618,0.337110012,-,Less,Less,0,0,0,0,0,-,Less,Less,3.3981,2.4389,0.52112,0.9592,0.283062259,-,Less,Less,FALSE,All Below Average,FALSE
MSH4,P40965,9.1449,9.6344,0.23927,-0.4895,0.62111175,-,More,More,8.919,9.6662,0.11565,-0.7472,0.936854363,-,More,More,9.4334,9.6513,0.5889,-0.2179,0.229958446,-,More,More,All above average,FALSE,FALSE
MSH5,Q12175,8.5032,9.1596,0.11895,-0.6564,0.924635554,-,More,More,8.2001,9.1694,0.090051,-0.9693,1.04551146,-,More,More,8.8306,9.3368,0.20925,-0.5062,0.679334533,-,More,More,All above average,FALSE,FALSE
MSH6,Q03834,6.1469,5.7449,0.75838,0.402,0.120113129,-,Less,Less,3.0333,0,0.20483,3.0333,0.688606435,-,Less,Less,3.4624,0,0.35673,3.4624,0.447660366,-,Less,Less,FALSE,All Below Average,FALSE
MSL1,P11325 P40567,9.1192,9.0796,0.92425,0.0396,0.034210541,-,More,More,8.7783,9.2327,0.33863,-0.4544,0.470274569,-,More,More,9.1595,9.1874,0.94489,-0.0279,0.024618747,-,More,More,All above average,FALSE,FALSE
MSM1,P22438,3.9727,4.6413,0.63478,-0.6686,0.197376765,-,Less,Less,3.8182,0,0.33332,3.8182,0.477138627,-,Less,Less,4.4441,3.8606,0.73459,0.5835,0.133954988,-,Less,Less,FALSE,All Below Average,FALSE
MSN1,P22148,7.2848,7.7564,0.48975,-0.4716,0.310025555,-,More,More,7.7381,8.4054,0.23774,-0.6673,0.623897742,-,More,More,8.2136,8.2264,0.97635,-0.0128,0.010394469,-,More,More,All above average,FALSE,FALSE
MSN2,P33748,7.0816,5.2069,0.081433,1.8747,1.089199565,-,More,Less,6.8306,5.1507,0.11191,1.6799,0.951131104,-,More,Less,6.9631,6.4184,0.35609,0.5447,0.448440222,-,More,More,FALSE,FALSE,Mixed
MSN4,P33749,0,3.698,0.37234,-3.698,0.429060306,-,Less,Less,0,3.0395,0.44122,-3.0395,0.35534481,-,Less,Less,0,0,0,0,0,-,Less,Less,FALSE,All Below Average,FALSE
MSO1,P53604,10.1287,9.7737,0.31736,0.355,0.498447813,-,More,More,9.8129,10.4317,0.11523,-0.6188,0.938434438,-,More,More,10.0971,10.8054,0.036878,-0.7083,1.43323264,-,More,More,All above average,FALSE,FALSE
MSP1,P28737,7.8288,7.8637,0.93762,-0.0349,0.027973137,-,More,More,7.9487,8.3805,0.4688,-0.4318,0.329012397,-,More,More,8.2152,8.5044,0.50359,-0.2892,0.297922902,-,More,More,All above average,FALSE,FALSE
MSR1,P38714,5.1775,4.891,0.83874,0.2865,0.076372645,-,Less,Less,5.9202,4.9876,0.49144,0.9326,0.308529498,-,Less,Less,6.8725,4.6607,0.041372,2.2118,1.383293484,-,More,Less,FALSE,FALSE,Mixed
MSS1,P32559 Q03125,5.6545,0,0.31473,5.6545,0.502061858,-,Less,Less,0,0,0,0,0,-,Less,Less,0,0,0,0,0,-,Less,Less,FALSE,All Below Average,FALSE
MSS11,Q03825,7.5013,4.1452,0.010221,3.3561,1.990506612,-,More,Less,5.8002,3.6726,0.20511,2.1276,0.688013165,-,Less,Less,6.4001,2.473,0.022507,3.9271,1.647682389,-,Less,Less,FALSE,FALSE,Mixed
MSS116,P15424,4.4256,4.1452,0.96025,0.2804,0.017615684,-,Less,Less,5.4884,5.2596,0.86597,0.2288,0.062497153,-,Less,Less,5.1723,3.9326,0.47133,1.2397,0.326674917,-,Less,Less,FALSE,All Below Average,FALSE
MTC1,P47018,6.9159,7.1735,0.77769,-0.2576,0.109193485,-,More,More,6.6731,7.5245,0.17745,-0.8514,0.750923996,-,More,More,6.5171,6.5869,0.90579,-0.0698,0.042972478,-,More,More,All above average,FALSE,FALSE
MTC2,P34246,6.3271,7.354,0.26055,-1.0269,0.584108922,-,Less,More,7.1002,7.6256,0.40528,-0.5254,0.392244828,-,More,More,7.691,7.687,0.99292,0.004,0.003085741,-,More,More,FALSE,FALSE,Mixed
MTC3,P53077,0,0,0,0,0,-,Less,Less,3.7527,0,0.34169,3.7527,0.466367731,-,Less,Less,0,0,0,0,0,-,Less,Less,FALSE,All Below Average,FALSE
MTC4,P38335,6.7985,5.2069,0.13905,1.5916,0.856829007,-,More,Less,5.9862,4.9166,0.43005,1.0696,0.366481048,-,Less,Less,4.9071,4.2241,0.69149,0.683,0.160214096,-,Less,Less,FALSE,FALSE,Mixed
MTC5,Q03897,6.4276,5.1039,0.31107,1.3237,0.507141871,-,Less,Less,7.2249,7.0785,0.81658,0.1464,0.088001261,-,More,More,6.5658,6.6448,0.89343,-0.079,0.048939469,-,More,More,FALSE,FALSE,Mixed
MTC6,Q03920 P38849,6.9893,4.891,0.10833,2.0983,0.965251257,-,More,Less,6.0312,5.394,0.54648,0.6372,0.262425728,-,Less,Less,4.1461,2.4389,0.25348,1.7072,0.596056302,-,Less,Less,FALSE,FALSE,Mixed
MTC7,P32633,7.2557,4.1452,0.017298,3.1105,1.762004107,-,More,Less,5.6911,4.9121,0.56546,0.779,0.247598111,-,Less,Less,5.041,3.38,0.33452,1.661,0.475577912,-,Less,Less,FALSE,FALSE,Mixed
MTD1,Q02046,0,0,0,0,0,-,Less,Less,2.3924,3.949,0.3662,-1.5566,0.43628166,-,Less,Less,4.0841,3.4219,0.65778,0.6622,0.181919336,-,Less,Less,FALSE,All Below Average,FALSE
MTF1,P14908,6.0007,5.2069,0.54354,0.7938,0.26476849,-,Less,Less,5.1899,0,0.18851,5.1899,0.724665607,-,Less,Less,6.2252,2.473,0.029251,3.7522,1.533859282,-,Less,Less,FALSE,All Below Average,FALSE
MTG2,P38860,4.8237,5.7449,0.51282,-0.9212,0.290035046,-,Less,Less,6.058,5.1245,0.37708,0.9335,0.423566502,-,Less,Less,6.1142,3.878,0.1251,2.2362,0.90274269,-,Less,Less,FALSE,All Below Average,FALSE
MTH1,P0CX80 P0CX81 P35198,8.8304,8.7603,0.86784,0.0701,0.061560336,-,More,More,8.5684,9.275,0.21656,-0.7066,0.664421757,-,More,More,8.8827,9.2635,0.34489,-0.3808,0.462319398,-,More,More,All above average,FALSE,FALSE
MTL1,P53214,5.2184,4.891,0.81611,0.3274,0.088251301,-,Less,Less,5.0797,3.8544,0.46554,1.2253,0.332042998,-,Less,Less,5.6008,4.6253,0.50344,0.9755,0.298052281,-,Less,Less,FALSE,All Below Average,FALSE
MTM1,P53320,2.969,5.1039,0.70426,-2.1349,0.152266978,-,Less,Less,5.0305,4.9511,0.95328,0.0794,0.020779518,-,Less,Less,5.0008,0,0.18316,5.0008,0.737169365,-,Less,Less,FALSE,All Below Average,FALSE
MTQ1,P53944,0,0,0,0,0,-,Less,Less,1.977,0,0.4086,1.977,0.388701638,-,Less,Less,2.3784,0,0.31403,2.3784,0.503028861,-,Less,Less,FALSE,All Below Average,FALSE
MUB1,Q03162,7.9713,7.7564,0.62977,0.2149,0.200818031,-,More,More,7.9606,8.119,0.77929,-0.1584,0.108300897,-,More,More,8.0831,7.6867,0.37724,0.3964,0.423382264,-,More,More,All above average,FALSE,FALSE
MUC1,P08640,0,0,0,0,0,-,Less,Less,2.6052,2.7026,0.98031,-0.0974,0.008636567,-,Less,Less,3.2147,2.5506,0.65688,0.6641,0.182513961,-,Less,Less,FALSE,All Below Average,FALSE
MUD2,P36084,4.4601,5.535,0.44505,-1.0749,0.351591195,-,Less,Less,4.4263,5.5852,0.39256,-1.1589,0.406093955,-,Less,Less,5.2602,4.8994,0.80458,0.3608,0.094430767,-,Less,Less,FALSE,All Below Average,FALSE
MUM2,P38236,9.5586,9.4225,0.74355,0.1361,0.128689822,-,More,More,9.1492,9.2425,0.84421,-0.0933,0.073549508,-,More,More,9.5575,9.863,0.36802,-0.3055,0.434128579,-,More,More,All above average,FALSE,FALSE
MUM3,Q08750,7.4015,5.8665,0.092608,1.535,1.033351495,-,More,Less,5.916,2.8564,0.068422,3.0596,1.164804235,-,Less,Less,5.7293,4.8257,0.53545,0.9036,0.271281077,-,Less,Less,FALSE,FALSE,Mixed
MUP1,P50276,5.8114,6.6659,0.42711,-0.8545,0.36946026,-,Less,More,6.7633,5.8765,0.25787,0.8868,0.58859918,-,More,More,6.1152,6.0578,0.95774,0.0574,0.018752374,-,Less,More,FALSE,FALSE,Mixed
MUS81,Q04149,6.4276,5.7449,0.52576,0.6827,0.279212458,-,Less,Less,6.416,6.2466,0.82897,0.1694,0.081461186,-,Less,More,5.8657,4.2768,0.27582,1.5889,0.559374246,-,Less,Less,FALSE,FALSE,Mixed
MVP1,P40959,7.142,7.0247,0.89777,0.1173,0.046834911,-,More,More,6.5982,7.08,0.53871,-0.4818,0.268644963,-,More,More,6.8378,6.798,0.94624,0.0398,0.023998697,-,More,More,All above average,FALSE,FALSE
MYO5,Q04439,8.9069,9.0738,0.68809,-0.1669,0.162354754,-,More,More,8.9372,9.3064,0.43702,-0.3692,0.359498687,-,More,More,9.5121,9.1054,0.31301,0.4067,0.504441787,-,More,More,All above average,FALSE,FALSE
