Name,UniProt ID,Oxidized 24h,Reduced 24h,P-value 24h,Difference 24h,P-value (log) 24h,Significant 24h,Abundance Check Oxidized,Abundance Check Reduced,Oxidized 48h,Reduced 48h,P-value 48h,Difference 48h,P-value (log) 48h,Significant 48h,Abundance Check Oxidized,Abundance Check Reduced,Oxidized 72h,Reduced 72h,P-value 72h,Difference 72h,P-value (log) 72h,Significant 72h,Abundance Check Oxidized,Abundance Check Reduced,General abundance check,,
ADE1,P27616,6.8186,7.1987,0.67706,-0.3801,0.169372843,-,More,More,7.2953,7.5684,0.66532,-0.2731,0.176969421,-,More,More,7.3468,8.1453,0.075253,-0.7985,1.123476182,-,More,More,All above average,FALSE,FALSE
ADE12,P80210,4.926,3.698,0.38297,1.228,0.416835245,-,Less,Less,2.6052,2.8564,0.88404,-0.2512,0.053528084,-,Less,Less,2.3561,0,0.31858,2.3561,0.496781492,-,Less,Less,FALSE,All Below Average,FALSE
ADE16,P54113,9.7174,9.4838,0.5107,0.2336,0.291834142,-,More,More,9.7992,9.367,0.3628,0.4322,0.440332722,-,More,More,9.7299,9.5197,0.60205,0.2102,0.220367439,-,More,More,All above average,FALSE,FALSE
ADE2,P21264,7.3328,7.3731,0.95294,-0.0403,0.020934443,-,More,More,7.6335,8.202,0.31442,-0.5685,0.502489837,-,More,More,8.0881,8.1491,0.88782,-0.061,0.051675076,-,More,More,All above average,FALSE,FALSE
"ADE5,7",P07244,6.2699,7.2443,0.28571,-0.9744,0.544074559,-,Less,More,5.6994,6.8367,0.28186,-1.1373,0.549966552,-,Less,More,6.6599,6.538,0.83634,0.1219,0.077617132,-,More,More,FALSE,FALSE,Mixed
ADE6,P38972,3.8738,3.698,0.97506,0.1758,0.010968659,-,Less,Less,3.8529,4.526,0.68854,-0.6731,0.162070825,-,Less,Less,3.7531,5.6049,0.20406,-1.8518,0.690242118,-,Less,More,FALSE,FALSE,Mixed
ADH2,P00331,9.6178,9.6211,0.9926,-0.0033,0.003225729,-,More,More,9.9429,9.6641,0.47799,0.2788,0.320581189,-,More,More,9.4591,9.6212,0.68748,-0.1621,0.162739932,-,More,More,All above average,FALSE,FALSE
ADH3,P07246,0,0,0,0,0,-,Less,Less,5.2031,3.6833,0.36537,1.5198,0.437267115,-,Less,Less,3.7008,3.3368,0.80767,0.364,0.092766048,-,Less,Less,FALSE,All Below Average,FALSE
ADH4,P10127,2.969,0,0.31731,2.969,0.498516241,-,Less,Less,3.0333,0,0.20483,3.0333,0.688606435,-,Less,Less,0,0,0,0,0,-,Less,Less,FALSE,All Below Average,FALSE
ADH5,P38113,9.4566,10.2783,0.020667,-0.8217,1.684722561,-,More,More,9.6395,10.5347,0.02269,-0.8952,1.644165504,-,More,More,10.1979,10.7085,0.13239,-0.5106,0.878144818,-,More,More,All above average,FALSE,FALSE
